Movie Name,Year,Duration,IMDB Rating
130. Batman Begins,Unknown,Unknown,8.2
131. The Wolf of Wall Street,Unknown,Unknown,8.2
132. Some Like It Hot,Unknown,Unknown,8.2
133. Green Book,Unknown,Unknown,8.2
134. The Kid,Unknown,Unknown,8.2
135. The Father,Unknown,Unknown,8.2
136. Judgment at Nuremberg,Unknown,Unknown,8.3
137. All About Eve,Unknown,Unknown,8.2
138. The Truman Show,Unknown,Unknown,8.2
139. Top Gun: Maverick,Unknown,Unknown,8.2
140. Shutter Island,Unknown,Unknown,8.2
141. There Will Be Blood,Unknown,Unknown,8.2
142. Casino,Unknown,Unknown,8.2
143. Jurassic Park,Unknown,Unknown,8.2
144. Ran,Unknown,Unknown,8.2
145. The Sixth Sense,Unknown,Unknown,8.2
146. Pan's Labyrinth,Unknown,Unknown,8.2
147. Unforgiven,Unknown,Unknown,8.2
148. No Country for Old Men,Unknown,Unknown,8.2
149. A Beautiful Mind,Unknown,Unknown,8.2
150. The Thing,Unknown,Unknown,8.2
151. The Treasure of the Sierra Madre,Unknown,Unknown,8.2
152. Kill Bill: Vol. 1,Unknown,Unknown,8.2
153. Yojimbo,Unknown,Unknown,8.2
154. Monty Python and the Holy Grail,Unknown,Unknown,8.2
155. The Great Escape,Unknown,Unknown,8.2
156. Finding Nemo,Unknown,Unknown,8.2
157. Rashomon,Unknown,Unknown,8.2
158. Prisoners,Unknown,Unknown,8.2
159. Howl's Moving Castle,Unknown,Unknown,8.2
160. The Elephant Man,Unknown,Unknown,8.2
161. Chinatown,Unknown,Unknown,8.1
162. Dial M for Murder,Unknown,Unknown,8.2
163. Gone with the Wind,Unknown,Unknown,8.2
164. V for Vendetta,Unknown,Unknown,8.2
"165. Lock, Stock and Two Smoking Barrels",Unknown,Unknown,8.1
166. The Secret in Their Eyes,Unknown,Unknown,8.2
167. Inside Out,Unknown,Unknown,8.1
168. Raging Bull,Unknown,Unknown,8.1
"169. Three Billboards Outside Ebbing, Missouri",Unknown,Unknown,8.1
170. Trainspotting,Unknown,Unknown,8.1
171. The Bridge on the River Kwai,Unknown,Unknown,8.1
172. Spider-Man: No Way Home,Unknown,Unknown,8.2
173. Fargo,Unknown,Unknown,8.1
174. Klaus,Unknown,Unknown,8.2
175. Catch Me If You Can,Unknown,Unknown,8.1
176. Warrior,Unknown,Unknown,8.1
177. Godzilla Minus One,Unknown,Unknown,8.3
178. Gran Torino,Unknown,Unknown,8.1
179. My Neighbor Totoro,Unknown,Unknown,8.1
180. Million Dollar Baby,Unknown,Unknown,8.1
181. Harry Potter and the Deathly Hallows: Part 2,Unknown,Unknown,8.1
182. Children of Heaven,Unknown,Unknown,8.2
183. 12 Years a Slave,Unknown,Unknown,8.1
184. Blade Runner,Unknown,Unknown,8.1
185. Before Sunrise,Unknown,Unknown,8.1
186. Ben-Hur,Unknown,Unknown,8.1
187. The Grand Budapest Hotel,Unknown,Unknown,8.1
188. Barry Lyndon,Unknown,Unknown,8.1
189. Gone Girl,Unknown,Unknown,8.1
190. Hacksaw Ridge,Unknown,Unknown,8.1
191. The Gold Rush,Unknown,Unknown,8.1
192. In the Name of the Father,Unknown,Unknown,8.1
193. Memories of Murder,Unknown,Unknown,8.1
194. Dead Poets Society,Unknown,Unknown,8.1
195. Wild Tales,Unknown,Unknown,8.1
196. On the Waterfront,Unknown,Unknown,8.1
197. The General,Unknown,Unknown,8.1
198. The Deer Hunter,Unknown,Unknown,8.1
199. Mad Max: Fury Road,Unknown,Unknown,8.1
"200. Monsters, Inc.",Unknown,Unknown,8.1
201. Sherlock Jr.,Unknown,Unknown,8.2
202. The Third Man,Unknown,Unknown,8.1
203. The Wages of Fear,Unknown,Unknown,8.2
204. Wild Strawberries,Unknown,Unknown,8.1
205. Jaws,Unknown,Unknown,8.1
206. How to Train Your Dragon,Unknown,Unknown,8.1
207. Mary and Max,Unknown,Unknown,8.1
208. Mr. Smith Goes to Washington,Unknown,Unknown,8.1
209. Ratatouille,Unknown,Unknown,8.1
210. Ford v Ferrari,Unknown,Unknown,8.1
211. Tokyo Story,Unknown,Unknown,8.1
212. The Big Lebowski,Unknown,Unknown,8.1
213. The Seventh Seal,Unknown,Unknown,8.1
214. Room,Unknown,Unknown,8.1
215. Rocky,Unknown,Unknown,8.1
216. Logan,Unknown,Unknown,8.1
217. Spotlight,Unknown,Unknown,8.1
218. Hotel Rwanda,Unknown,Unknown,8.1
219. Platoon,Unknown,Unknown,8.1
220. The Terminator,Unknown,Unknown,8.1
221. The Passion of Joan of Arc,Unknown,Unknown,8.1
222. Before Sunset,Unknown,Unknown,8.1
223. La haine,Unknown,Unknown,8.1
224. The Best Years of Our Lives,Unknown,Unknown,8.1
225. Pirates of the Caribbean: The Curse of the Black Pearl,Unknown,Unknown,8.1
226. The Exorcist,Unknown,Unknown,8.1
227. Rush,Unknown,Unknown,8.1
228. Jai Bhim,Unknown,Unknown,8.7
229. Network,Unknown,Unknown,8.1
230. Stand by Me,Unknown,Unknown,8.1
231. The Wizard of Oz,Unknown,Unknown,8.1
232. The Incredibles,Unknown,Unknown,8.0
233. Hachi: A Dog's Tale,Unknown,Unknown,8.1
234. The Handmaiden,Unknown,Unknown,8.1
235. Into the Wild,Unknown,Unknown,8.1
236. My Father and My Son,Unknown,Unknown,8.2
237. The Sound of Music,Unknown,Unknown,8.1
238. The Grapes of Wrath,Unknown,Unknown,8.1
239. To Be or Not to Be,Unknown,Unknown,8.1
240. The Battle of Algiers,Unknown,Unknown,8.1
241. Groundhog Day,Unknown,Unknown,8.0
242. Amores Perros,Unknown,Unknown,8.1
243. Rebecca,Unknown,Unknown,8.1
244. The Iron Giant,Unknown,Unknown,8.1
245. Cool Hand Luke,Unknown,Unknown,8.1
246. The Help,Unknown,Unknown,8.1
247. It Happened One Night,Unknown,Unknown,8.1
248. Aladdin,Unknown,Unknown,8.0
249. Dances with Wolves,Unknown,Unknown,8.0
"250. Paris, Texas",Unknown,Unknown,8.1
